year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_mio_nac
2011,NUTS,2010,DEA3,2,765.301
2013,NUTS,2010,DEA3,2,824.006
2015,NUTS,2010,DEA3,2,907.009
2017,NUTS,2010,DEA3,2,1043.633
2019,NUTS,2010,DEA3,2,1222.18
2011,NUTS,2010,DEA4,2,1155.417
2013,NUTS,2010,DEA4,2,1304.486
2015,NUTS,2010,DEA4,2,1344.977
2017,NUTS,2010,DEA4,2,1495.788
2019,NUTS,2010,DEA4,2,1595.4
2011,NUTS,2010,DEA5,2,1563.999
2013,NUTS,2010,DEA5,2,1771.926
2015,NUTS,2010,DEA5,2,1924.015
2017,NUTS,2010,DEA5,2,2134.364
2019,NUTS,2010,DEA5,2,2347.88
2011,NUTS,2010,DEB,1,2383.561
2013,NUTS,2010,DEB,1,2651.631
2015,NUTS,2010,DEB,1,3185.254
2017,NUTS,2010,DEB,1,3495.1
2019,NUTS,2010,DEB,1,3829.72
2011,NUTS,2010,DEB1,2,285.707
2013,NUTS,2010,DEB1,2,317.709
2015,NUTS,2010,DEB1,2,332.664
2017,NUTS,2010,DEB1,2,343.648
2019,NUTS,2010,DEB1,2,449.43
2011,NUTS,2010,DEB2,2,444.829
2013,NUTS,2010,DEB2,2,447.043
2015,NUTS,2010,DEB2,2,453.105
2017,NUTS,2010,DEB2,2,142.365
2019,NUTS,2010,DEB2,2,151.83
2011,NUTS,2010,DEB3,2,1653.025
2013,NUTS,2010,DEB3,2,1886.879
2015,NUTS,2010,DEB3,2,2399.485
2017,NUTS,2010,DEB3,2,3008.986
2019,NUTS,2010,DEB3,2,3228.35
2011,NUTS,2010,DEC,1,470.981
2013,NUTS,2010,DEC,1,461.587
2015,NUTS,2010,DEC,1,533.946
2017,NUTS,2010,DEC,1,618.605
2019,NUTS,2010,DEC,1,673.79
2011,NUTS,2010,DEC0,2,470.981
2013,NUTS,2010,DEC0,2,461.587
2015,NUTS,2010,DEC0,2,533.946
2017,NUTS,2010,DEC0,2,618.605
2019,NUTS,2010,DEC0,2,673.79
2011,NUTS,2010,DED,1,2779.908
2013,NUTS,2010,DED,1,2865.102
2015,NUTS,2010,DED,1,3093.295
2017,NUTS,2010,DED,1,3393.718
2019,NUTS,2010,DED,1,3857.55
2011,NUTS,2010,DED2,2,1590.125
2013,NUTS,2010,DED2,2,1652.036
2015,NUTS,2010,DED2,2,1807.291
2017,NUTS,2010,DED2,2,1990.797
2019,NUTS,2010,DED2,2,2300.84
2011,NUTS,2010,DED4,2,637.513
2013,NUTS,2010,DED4,2,666.311
2015,NUTS,2010,DED4,2,675.945
2017,NUTS,2010,DED4,2,750.505
2019,NUTS,2010,DED4,2,805.48
2011,NUTS,2010,DED5,2,552.264
2013,NUTS,2010,DED5,2,546.854
2015,NUTS,2010,DED5,2,611.06
2017,NUTS,2010,DED5,2,652.516
2019,NUTS,2010,DED5,2,751.23
2011,NUTS,2010,DEE,1,766.016
2013,NUTS,2010,DEE,1,776.784
2015,NUTS,2010,DEE,1,807.009
2017,NUTS,2010,DEE,1,916.247
2019,NUTS,2010,DEE,1,988.7
2011,NUTS,2010,DEE0,2,766.016
2013,NUTS,2010,DEE0,2,776.784
2015,NUTS,2010,DEE0,2,807.009
2017,NUTS,2010,DEE0,2,916.247
2019,NUTS,2010,DEE0,2,988.7
2011,NUTS,2010,DEF,1,1077.565
2013,NUTS,2010,DEF,1,1195.313
2015,NUTS,2010,DEF,1,1275.23
2017,NUTS,2010,DEF,1,1446.999
2019,NUTS,2010,DEF,1,1655.5
2011,NUTS,2010,DEF0,2,1077.565
2013,NUTS,2010,DEF0,2,1195.313
2015,NUTS,2010,DEF0,2,1275.23
2017,NUTS,2010,DEF0,2,1446.999
2019,NUTS,2010,DEF0,2,1655.5
2011,NUTS,2010,DEG,1,1079.414
2013,NUTS,2010,DEG,1,1155.215
2015,NUTS,2010,DEG,1,1180.181
2017,NUTS,2010,DEG,1,1358.81
2019,NUTS,2010,DEG,1,1486.25
2011,NUTS,2010,DEG0,2,1079.414
2013,NUTS,2010,DEG0,2,1155.215
2015,NUTS,2010,DEG0,2,1180.181
2017,NUTS,2010,DEG0,2,1358.81
2019,NUTS,2010,DEG0,2,1486.25
2011,NUTS,2010,DEZ,1,200.221
2013,NUTS,2010,DEZ,1,200.597
2015,NUTS,2010,DEZ,1,191.526
2017,NUTS,2010,DEZ,1,207.705
2019,NUTS,2010,DEZ,1,203.55
2011,NUTS,2010,DEZZ,2,200.221
2013,NUTS,2010,DEZZ,2,200.597
2015,NUTS,2010,DEZZ,2,191.526
2017,NUTS,2010,DEZZ,2,207.705
2019,NUTS,2010,DEZZ,2,203.55
2011,NUTS,2010,DK,0,54383.4
2012,NUTS,2010,DK,0,56494.7
2013,NUTS,2010,DK,0,57320.7
2014,NUTS,2010,DK,0,57732.0
2015,NUTS,2010,DK,0,62210.0
2016,NUTS,2010,DK,0,65191.0
2017,NUTS,2010,DK,0,64281.0
2018,NUTS,2010,DK,0,66834.0
2019,NUTS,2010,DK,0,67999.0
2020,NUTS,2010,DK,0,70521.0
2011,NUTS,2010,DK0,1,54476.2
2012,NUTS,2010,DK0,1,56993.7
2013,NUTS,2010,DK0,1,57242.7
2014,NUTS,2010,DK0,1,57732.0
2015,NUTS,2010,DK0,1,62210.0
2016,NUTS,2010,DK0,1,65191.0
2017,NUTS,2010,DK0,1,64281.0
2018,NUTS,2010,DK0,1,66834.0
2019,NUTS,2010,DK0,1,68000.0
2020,NUTS,2010,DK0,1,70521.0
2011,NUTS,2010,DK01,2,34464.7
2012,NUTS,2010,DK01,2,36073.6
2013,NUTS,2010,DK01,2,35501.7
2014,NUTS,2010,DK01,2,36617.0
2015,NUTS,2010,DK01,2,39371.0
2016,NUTS,2010,DK01,2,41533.0
2017,NUTS,2010,DK01,2,40983.0
2019,NUTS,2010,DK01,2,43540.0
2011,NUTS,2010,DK02,2,2464.0
2012,NUTS,2010,DK02,2,2379.2
2013,NUTS,2010,DK02,2,2263.6
2014,NUTS,2010,DK02,2,2029.0
2015,NUTS,2010,DK02,2,2312.0
2016,NUTS,2010,DK02,2,2407.0
2017,NUTS,2010,DK02,2,3030.0
2019,NUTS,2010,DK02,2,2960.0
2011,NUTS,2010,DK03,2,5362.8
2012,NUTS,2010,DK03,2,5925.1
2013,NUTS,2010,DK03,2,6529.6
2014,NUTS,2010,DK03,2,6778.0
2015,NUTS,2010,DK03,2,7464.0
2016,NUTS,2010,DK03,2,7181.0
2017,NUTS,2010,DK03,2,5457.0
2019,NUTS,2010,DK03,2,6354.0
2011,NUTS,2010,DK04,2,10011.2
2012,NUTS,2010,DK04,2,10280.1
2013,NUTS,2010,DK04,2,10563.5
2014,NUTS,2010,DK04,2,9729.0
2015,NUTS,2010,DK04,2,10475.0
2016,NUTS,2010,DK04,2,10911.0
2017,NUTS,2010,DK04,2,11106.0
2019,NUTS,2010,DK04,2,11312.0
2011,NUTS,2010,DK05,2,2173.5
2012,NUTS,2010,DK05,2,2335.7
2013,NUTS,2010,DK05,2,2384.3
2014,NUTS,2010,DK05,2,2579.0
2015,NUTS,2010,DK05,2,2589.0
2016,NUTS,2010,DK05,2,3158.0
2017,NUTS,2010,DK05,2,3705.0
2019,NUTS,2010,DK05,2,3834.0
2011,NUTS,2010,EE,0,384.447
2012,NUTS,2010,EE,0,380.695
2013,NUTS,2010,EE,0,326.045
2014,NUTS,2010,EE,0,286.736
2015,NUTS,2010,EE,0,302.82
2016,NUTS,2010,EE,0,270.34
2017,NUTS,2010,EE,0,304.32
2018,NUTS,2010,EE,0,365.64
2019,NUTS,2010,EE,0,452.97
2020,NUTS,2010,EE,0,481.0
2011,NUTS,2010,EE0,1,384.447
2012,NUTS,2010,EE0,1,380.695
2013,NUTS,2010,EE0,1,326.045
2014,NUTS,2010,EE0,1,286.736
2015,NUTS,2010,EE0,1,302.82
2016,NUTS,2010,EE0,1,270.34
2017,NUTS,2010,EE0,1,304.32
2018,NUTS,2010,EE0,1,365.64
2019,NUTS,2010,EE0,1,452.97
2020,NUTS,2010,EE0,1,481.0
2011,NUTS,2010,EE00,2,384.447
2012,NUTS,2010,EE00,2,380.695
2013,NUTS,2010,EE00,2,326.045
2014,NUTS,2010,EE00,2,286.736
2015,NUTS,2010,EE00,2,302.82
2016,NUTS,2010,EE00,2,270.34
2017,NUTS,2010,EE00,2,304.32
2018,NUTS,2010,EE00,2,365.64
2019,NUTS,2010,EE00,2,452.97
2020,NUTS,2010,EE00,2,481.0
2011,NUTS,2010,EL,0,1391.156
2012,NUTS,2010,EL,0,1337.6
2013,NUTS,2010,EL,0,1465.67
2014,NUTS,2010,EL,0,1488.74
2015,NUTS,2010,EL,0,1703.82
2016,NUTS,2010,EL,0,1754.18
2017,NUTS,2010,EL,0,2038.43
2018,NUTS,2010,EL,0,2179.31
2019,NUTS,2010,EL,0,2337.66
2020,NUTS,2010,EL,0,2473.45
2011,NUTS,2010,EL3,1,774.385
2013,NUTS,2010,EL3,1,820.27
2015,NUTS,2010,EL3,1,966.92
2017,NUTS,2010,EL3,1,1242.33
2018,NUTS,2010,EL3,1,1333.93
2019,NUTS,2010,EL3,1,1428.42
2011,NUTS,2010,EL30,2,774.385
2013,NUTS,2010,EL30,2,820.27
2015,NUTS,2010,EL30,2,966.92
2017,NUTS,2010,EL30,2,1242.33
2018,NUTS,2010,EL30,2,1333.93
2019,NUTS,2010,EL30,2,1428.42
2011,NUTS,2010,EL4,1,132.174
2013,NUTS,2010,EL4,1,157.06
2015,NUTS,2010,EL4,1,164.8
2017,NUTS,2010,EL4,1,156.14
2018,NUTS,2010,EL4,1,162.02
2019,NUTS,2010,EL4,1,173.62
2011,NUTS,2010,EL41,2,14.312
2013,NUTS,2010,EL41,2,21.4
2015,NUTS,2010,EL41,2,18.79
2017,NUTS,2010,EL41,2,16.74
2018,NUTS,2010,EL41,2,16.82
2019,NUTS,2010,EL41,2,18.25
2011,NUTS,2010,EL42,2,11.759
2013,NUTS,2010,EL42,2,14.98
2015,NUTS,2010,EL42,2,11.29
2017,NUTS,2010,EL42,2,10.6
2018,NUTS,2010,EL42,2,11.77
2019,NUTS,2010,EL42,2,14.74
2011,NUTS,2010,EL43,2,106.103
2013,NUTS,2010,EL43,2,120.68
2015,NUTS,2010,EL43,2,134.72
2017,NUTS,2010,EL43,2,128.8
2018,NUTS,2010,EL43,2,133.43
2019,NUTS,2010,EL43,2,140.63
2011,NUTS,2010,EL5,1,293.317
2013,NUTS,2010,EL5,1,284.09
2015,NUTS,2010,EL5,1,316.07
2017,NUTS,2010,EL5,1,402.78
2018,NUTS,2010,EL5,1,399.29
2019,NUTS,2010,EL5,1,412.46
2011,NUTS,2010,EL51,2,46.253
2013,NUTS,2010,EL51,2,43.21
2015,NUTS,2010,EL51,2,47.06
2017,NUTS,2010,EL51,2,49.15
2018,NUTS,2010,EL51,2,51.24
2019,NUTS,2010,EL51,2,54.52
2011,NUTS,2010,EL52,2,193.325
2013,NUTS,2010,EL52,2,183.3
2015,NUTS,2010,EL52,2,201.44
2017,NUTS,2010,EL52,2,280.9
2018,NUTS,2010,EL52,2,276.09
2019,NUTS,2010,EL52,2,282.56
2011,NUTS,2010,EL53,2,15.365
2013,NUTS,2010,EL53,2,17.8
2015,NUTS,2010,EL53,2,20.04
2017,NUTS,2010,EL53,2,14.27
2018,NUTS,2010,EL53,2,19.26
2019,NUTS,2010,EL53,2,16.34
2011,NUTS,2010,EL54,2,38.374
2013,NUTS,2010,EL54,2,39.78
2015,NUTS,2010,EL54,2,47.53
2017,NUTS,2010,EL54,2,58.46
2018,NUTS,2010,EL54,2,52.7
2019,NUTS,2010,EL54,2,59.04
2011,NUTS,2010,EL6,1,191.281
2013,NUTS,2010,EL6,1,204.26
2015,NUTS,2010,EL6,1,256.03
2017,NUTS,2010,EL6,1,237.18
2018,NUTS,2010,EL6,1,284.07
2019,NUTS,2010,EL6,1,323.16
2011,NUTS,2010,EL61,2,42.409
2013,NUTS,2010,EL61,2,50.27
2015,NUTS,2010,EL61,2,59.91
2017,NUTS,2010,EL61,2,60.04
2018,NUTS,2010,EL61,2,74.73
2019,NUTS,2010,EL61,2,90.0
2011,NUTS,2010,EL62,2,6.141
2013,NUTS,2010,EL62,2,8.17
2015,NUTS,2010,EL62,2,15.64
2017,NUTS,2010,EL62,2,7.72
2018,NUTS,2010,EL62,2,10.89
2019,NUTS,2010,EL62,2,12.79
2011,NUTS,2010,EL63,2,80.939
2013,NUTS,2010,EL63,2,79.72
2015,NUTS,2010,EL63,2,106.93
2017,NUTS,2010,EL63,2,106.82
2018,NUTS,2010,EL63,2,104.36
2019,NUTS,2010,EL63,2,112.97
2011,NUTS,2010,EL64,2,38.467
2013,NUTS,2010,EL64,2,35.28
2015,NUTS,2010,EL64,2,42.41
2017,NUTS,2010,EL64,2,37.9
2018,NUTS,2010,EL64,2,42.41
2019,NUTS,2010,EL64,2,55.49
2011,NUTS,2010,EL65,2,23.325
2013,NUTS,2010,EL65,2,30.82
2015,NUTS,2010,EL65,2,31.14
2017,NUTS,2010,EL65,2,24.7
2018,NUTS,2010,EL65,2,51.68
2019,NUTS,2010,EL65,2,51.91
2015,NUTS,2010,ELZ,1,0.0
2018,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2018,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,14184.295
2012,NUTS,2010,ES,0,13391.607
2013,NUTS,2010,ES,0,13011.798
2014,NUTS,2010,ES,0,12820.756
2015,NUTS,2010,ES,0,13172.0
2016,NUTS,2010,ES,0,13260.0
2017,NUTS,2010,ES,0,14063.0
2018,NUTS,2010,ES,0,14946.0
2019,NUTS,2010,ES,0,15572.0
2020,NUTS,2010,ES,0,15768.0
2011,NUTS,2010,ES1,1,886.407
2012,NUTS,2010,ES1,1,809.899
2013,NUTS,2010,ES1,1,762.465
2014,NUTS,2010,ES1,1,750.718
2015,NUTS,2010,ES1,1,758.0
2016,NUTS,2010,ES1,1,771.0
2017,NUTS,2010,ES1,1,863.0
2018,NUTS,2010,ES1,1,897.0
2019,NUTS,2010,ES1,1,942.0
2011,NUTS,2010,ES11,2,526.47
2012,NUTS,2010,ES11,2,487.84
2013,NUTS,2010,ES11,2,468.701
2014,NUTS,2010,ES11,2,477.278
2015,NUTS,2010,ES11,2,497.0
2016,NUTS,2010,ES11,2,504.0
2017,NUTS,2010,ES11,2,572.0
2018,NUTS,2010,ES11,2,591.0
2019,NUTS,2010,ES11,2,627.0
2011,NUTS,2010,ES12,2,218.119
2012,NUTS,2010,ES12,2,195.892
2013,NUTS,2010,ES12,2,183.717
2014,NUTS,2010,ES12,2,171.611
2015,NUTS,2010,ES12,2,159.0
2016,NUTS,2010,ES12,2,161.0
2017,NUTS,2010,ES12,2,183.0
2018,NUTS,2010,ES12,2,188.0
2019,NUTS,2010,ES12,2,196.0
2011,NUTS,2010,ES13,2,141.817
2012,NUTS,2010,ES13,2,126.166
2013,NUTS,2010,ES13,2,110.047
2014,NUTS,2010,ES13,2,101.827
2015,NUTS,2010,ES13,2,103.0
2016,NUTS,2010,ES13,2,106.0
2017,NUTS,2010,ES13,2,109.0
2018,NUTS,2010,ES13,2,118.0
2019,NUTS,2010,ES13,2,119.0
2011,NUTS,2010,ES2,1,2184.993
2012,NUTS,2010,ES2,1,2159.89
2013,NUTS,2010,ES2,1,2004.806
2014,NUTS,2010,ES2,1,1992.097
2015,NUTS,2010,ES2,1,1942.0
2016,NUTS,2010,ES2,1,1989.0
2017,NUTS,2010,ES2,1,2082.0
2018,NUTS,2010,ES2,1,2205.0
2019,NUTS,2010,ES2,1,2256.0
2011,NUTS,2010,ES21,2,1397.209
2012,NUTS,2010,ES21,2,1431.108
2013,NUTS,2010,ES21,2,1328.298
2014,NUTS,2010,ES21,2,1306.279
2015,NUTS,2010,ES21,2,1269.0
2016,NUTS,2010,ES21,2,1303.0
2017,NUTS,2010,ES21,2,1351.0
2018,NUTS,2010,ES21,2,1451.0
2019,NUTS,2010,ES21,2,1474.0
2011,NUTS,2010,ES22,2,383.855
2012,NUTS,2010,ES22,2,346.691
2013,NUTS,2010,ES22,2,317.157
2014,NUTS,2010,ES22,2,313.655
2015,NUTS,2010,ES22,2,300.0
2016,NUTS,2010,ES22,2,309.0
2017,NUTS,2010,ES22,2,343.0
2018,NUTS,2010,ES22,2,344.0
2019,NUTS,2010,ES22,2,356.0
2011,NUTS,2010,ES23,2,81.817
2012,NUTS,2010,ES23,2,69.297
2013,NUTS,2010,ES23,2,61.271
2014,NUTS,2010,ES23,2,71.369
2015,NUTS,2010,ES23,2,71.0
2016,NUTS,2010,ES23,2,67.0
2017,NUTS,2010,ES23,2,74.0
2018,NUTS,2010,ES23,2,70.0
2019,NUTS,2010,ES23,2,68.0
2011,NUTS,2010,ES24,2,322.112
2012,NUTS,2010,ES24,2,312.796
2013,NUTS,2010,ES24,2,298.081
2014,NUTS,2010,ES24,2,300.796
2015,NUTS,2010,ES24,2,302.0
2016,NUTS,2010,ES24,2,310.0
2017,NUTS,2010,ES24,2,313.0
2018,NUTS,2010,ES24,2,340.0
2019,NUTS,2010,ES24,2,359.0
2011,NUTS,2010,ES3,1,3762.811
2012,NUTS,2010,ES3,1,3433.677
2013,NUTS,2010,ES3,1,3434.613
2014,NUTS,2010,ES3,1,3312.343
2015,NUTS,2010,ES3,1,3481.0
2016,NUTS,2010,ES3,1,3505.0
2017,NUTS,2010,ES3,1,3695.0
2018,NUTS,2010,ES3,1,3923.0
2019,NUTS,2010,ES3,1,4101.0
2011,NUTS,2010,ES30,2,3762.811
2012,NUTS,2010,ES30,2,3433.677
2013,NUTS,2010,ES30,2,3434.613
2014,NUTS,2010,ES30,2,3312.343
2015,NUTS,2010,ES30,2,3481.0
2016,NUTS,2010,ES30,2,3505.0
2017,NUTS,2010,ES30,2,3695.0
2018,NUTS,2010,ES30,2,3923.0
2019,NUTS,2010,ES30,2,4101.0
2011,NUTS,2010,ES4,1,977.576
2012,NUTS,2010,ES4,1,976.445
2013,NUTS,2010,ES4,1,862.082
2014,NUTS,2010,ES4,1,835.868
2015,NUTS,2010,ES4,1,856.0
2016,NUTS,2010,ES4,1,929.0
2017,NUTS,2010,ES4,1,1026.0
2018,NUTS,2010,ES4,1,1104.0
2019,NUTS,2010,ES4,1,1193.0
2011,NUTS,2010,ES41,2,574.357
2012,NUTS,2010,ES41,2,617.467
2013,NUTS,2010,ES41,2,531.0
2014,NUTS,2010,ES41,2,526.82
2015,NUTS,2010,ES41,2,536.0
2016,NUTS,2010,ES41,2,607.0
2017,NUTS,2010,ES41,2,683.0
2018,NUTS,2010,ES41,2,763.0
2019,NUTS,2010,ES41,2,801.0
2011,NUTS,2010,ES42,2,259.383
2012,NUTS,2010,ES42,2,230.547
2013,NUTS,2010,ES42,2,201.451
2014,NUTS,2010,ES42,2,193.038
2015,NUTS,2010,ES42,2,203.0
2016,NUTS,2010,ES42,2,216.0
2017,NUTS,2010,ES42,2,229.0
2018,NUTS,2010,ES42,2,219.0
2019,NUTS,2010,ES42,2,253.0
2011,NUTS,2010,ES43,2,143.837
2012,NUTS,2010,ES43,2,128.431
2013,NUTS,2010,ES43,2,129.629
2014,NUTS,2010,ES43,2,116.009
2015,NUTS,2010,ES43,2,117.0
2016,NUTS,2010,ES43,2,106.0
2017,NUTS,2010,ES43,2,114.0
2018,NUTS,2010,ES43,2,122.0
2019,NUTS,2010,ES43,2,139.0
2011,NUTS,2010,ES5,1,4243.893
2012,NUTS,2010,ES5,1,4088.973
2013,NUTS,2010,ES5,1,4045.992
2014,NUTS,2010,ES5,1,4034.419
2015,NUTS,2010,ES5,1,4209.0
2016,NUTS,2010,ES5,1,4236.0
2017,NUTS,2010,ES5,1,4471.0
2018,NUTS,2010,ES5,1,4816.0
2019,NUTS,2010,ES5,1,4995.0
2011,NUTS,2010,ES51,2,3103.713
2012,NUTS,2010,ES51,2,2991.011
2013,NUTS,2010,ES51,2,2960.612
2014,NUTS,2010,ES51,2,2937.73
2015,NUTS,2010,ES51,2,3107.0
2016,NUTS,2010,ES51,2,3103.0
2017,NUTS,2010,ES51,2,3276.0
2018,NUTS,2010,ES51,2,3513.0
2019,NUTS,2010,ES51,2,3597.0
2011,NUTS,2010,ES52,2,1044.364
2012,NUTS,2010,ES52,2,1008.041
2013,NUTS,2010,ES52,2,998.399
2014,NUTS,2010,ES52,2,1011.352
2015,NUTS,2010,ES52,2,1013.0
2016,NUTS,2010,ES52,2,1038.0
2017,NUTS,2010,ES52,2,1082.0
2018,NUTS,2010,ES52,2,1174.0
2019,NUTS,2010,ES52,2,1264.0
2011,NUTS,2010,ES53,2,95.819
2012,NUTS,2010,ES53,2,89.92
2013,NUTS,2010,ES53,2,86.982
2014,NUTS,2010,ES53,2,85.335
2015,NUTS,2010,ES53,2,89.0
2016,NUTS,2010,ES53,2,95.0
2017,NUTS,2010,ES53,2,114.0
2018,NUTS,2010,ES53,2,129.0
2019,NUTS,2010,ES53,2,134.0
2011,NUTS,2010,ES6,1,1885.645
2012,NUTS,2010,ES6,1,1711.226
2013,NUTS,2010,ES6,1,1698.763
2014,NUTS,2010,ES6,1,1702.319
2015,NUTS,2010,ES6,1,1723.0
2016,NUTS,2010,ES6,1,1631.0
2017,NUTS,2010,ES6,1,1706.0
2018,NUTS,2010,ES6,1,1787.0
2019,NUTS,2010,ES6,1,1865.0
2011,NUTS,2010,ES61,2,1648.471
2012,NUTS,2010,ES61,2,1480.46
2013,NUTS,2010,ES61,2,1471.261
2014,NUTS,2010,ES61,2,1465.739
2015,NUTS,2010,ES61,2,1476.0
2016,NUTS,2010,ES61,2,1360.0
2017,NUTS,2010,ES61,2,1423.0
2018,NUTS,2010,ES61,2,1479.0
2019,NUTS,2010,ES61,2,1538.0
2011,NUTS,2010,ES62,2,234.082
2012,NUTS,2010,ES62,2,227.759
2013,NUTS,2010,ES62,2,224.761
2014,NUTS,2010,ES62,2,233.693
2015,NUTS,2010,ES62,2,244.0
2016,NUTS,2010,ES62,2,269.0
2017,NUTS,2010,ES62,2,280.0
2018,NUTS,2010,ES62,2,303.0
2019,NUTS,2010,ES62,2,323.0
2011,NUTS,2010,ES63,2,1.252
2012,NUTS,2010,ES63,2,1.132
2013,NUTS,2010,ES63,2,0.991
2014,NUTS,2010,ES63,2,1.012
2015,NUTS,2010,ES63,2,1.0
2011,NUTS,2010,ES64,2,1.841
2012,NUTS,2010,ES64,2,1.877
2013,NUTS,2010,ES64,2,1.749
2014,NUTS,2010,ES64,2,1.874
2015,NUTS,2010,ES64,2,1.0
2011,NUTS,2010,ES7,1,242.968
2012,NUTS,2010,ES7,1,211.495
2013,NUTS,2010,ES7,1,203.077
2014,NUTS,2010,ES7,1,192.994
2015,NUTS,2010,ES7,1,202.0
2016,NUTS,2010,ES7,1,199.0
2017,NUTS,2010,ES7,1,220.0
2018,NUTS,2010,ES7,1,215.0
2019,NUTS,2010,ES7,1,220.0
2011,NUTS,2010,ES70,2,242.968
2012,NUTS,2010,ES70,2,211.495
2013,NUTS,2010,ES70,2,203.077
2014,NUTS,2010,ES70,2,192.994
2015,NUTS,2010,ES70,2,202.0
2016,NUTS,2010,ES70,2,199.0
2017,NUTS,2010,ES70,2,220.0
2018,NUTS,2010,ES70,2,215.0
2019,NUTS,2010,ES70,2,220.0
2011,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,FI,0,7163.692
2012,NUTS,2010,FI,0,6831.888
2013,NUTS,2010,FI,0,6684.1
2014,NUTS,2010,FI,0,6512.1
2015,NUTS,2010,FI,0,6070.9
2016,NUTS,2010,FI,0,5926.1
2017,NUTS,2010,FI,0,6173.2
2018,NUTS,2010,FI,0,6437.7
2019,NUTS,2010,FI,0,6715.1
2020,NUTS,2010,FI,0,6932.6
2011,NUTS,2010,FI1,1,7158.056
2012,NUTS,2010,FI1,1,6826.6
2013,NUTS,2010,FI1,1,6680.0
2015,NUTS,2010,FI1,1,6067.3
2016,NUTS,2010,FI1,1,5921.5
2017,NUTS,2010,FI1,1,6168.87
2018,NUTS,2010,FI1,1,6432.3
2019,NUTS,2010,FI1,1,6710.5
2011,NUTS,2010,FI19,2,1635.937
2012,NUTS,2010,FI19,2,1515.458
2013,NUTS,2010,FI19,2,1497.0
2015,NUTS,2010,FI19,2,1344.6
2016,NUTS,2010,FI19,2,1223.6
2017,NUTS,2010,FI19,2,1233.86
2018,NUTS,2010,FI19,2,1320.8
2019,NUTS,2010,FI19,2,1385.7
2011,NUTS,2010,FI1B,2,3102.454
2012,NUTS,2010,FI1B,2,2962.231
2013,NUTS,2010,FI1B,2,3017.0
2015,NUTS,2010,FI1B,2,2924.2
2016,NUTS,2010,FI1B,2,2897.7
2017,NUTS,2010,FI1B,2,3067.28
2018,NUTS,2010,FI1B,2,3177.2
2019,NUTS,2010,FI1B,2,3342.3
2011,NUTS,2010,FI1C,2,1012.655
2012,NUTS,2010,FI1C,2,1016.697
2013,NUTS,2010,FI1C,2,932.0
2015,NUTS,2010,FI1C,2,780.0
2016,NUTS,2010,FI1C,2,748.8
2017,NUTS,2010,FI1C,2,731.11
2018,NUTS,2010,FI1C,2,756.1
2019,NUTS,2010,FI1C,2,794.3
2011,NUTS,2010,FI1D,2,1407.01
2012,NUTS,2010,FI1D,2,1332.483
2013,NUTS,2010,FI1D,2,1235.0
2015,NUTS,2010,FI1D,2,1018.4
2016,NUTS,2010,FI1D,2,1051.4
2017,NUTS,2010,FI1D,2,1136.72
2018,NUTS,2010,FI1D,2,1178.2
2019,NUTS,2010,FI1D,2,1188.2
2011,NUTS,2010,FI2,1,5.659
2012,NUTS,2010,FI2,1,4.963
2013,NUTS,2010,FI2,1,4.0
2015,NUTS,2010,FI2,1,3.6
2016,NUTS,2010,FI2,1,4.5
2017,NUTS,2010,FI2,1,4.3
2018,NUTS,2010,FI2,1,5.6
2019,NUTS,2010,FI2,1,4.6
2011,NUTS,2010,FI20,2,5.659
2012,NUTS,2010,FI20,2,4.963
2013,NUTS,2010,FI20,2,4.0
2015,NUTS,2010,FI20,2,3.6
2016,NUTS,2010,FI20,2,4.5
2017,NUTS,2010,FI20,2,4.3
2018,NUTS,2010,FI20,2,5.6
2019,NUTS,2010,FI20,2,4.6
2011,NUTS,2010,FR,0,45111.514
2012,NUTS,2010,FR,0,46519.037
2013,NUTS,2010,FR,0,47362.045
2014,NUTS,2010,FR,0,47918.737
2015,NUTS,2010,FR,0,48959.451
2016,NUTS,2010,FR,0,49650.92
2017,NUTS,2010,FR,0,50513.598
2018,NUTS,2010,FR,0,51913.8
2019,NUTS,2010,FR,0,53427.81
2020,NUTS,2010,FR,0,54230.72
2011,NUTS,2010,FR1,1,18393.09
2012,NUTS,2010,FR1,1,18409.5
2013,NUTS,2010,FR1,1,18664.3
2011,NUTS,2010,FR10,2,18393.09
2012,NUTS,2010,FR10,2,18409.542
2013,NUTS,2010,FR10,2,18664.276
2011,NUTS,2010,FR2,1,3492.062
2012,NUTS,2010,FR2,1,3663.6
2013,NUTS,2010,FR2,1,3721.6
2011,NUTS,2010,FR21,2,278.285
2012,NUTS,2010,FR21,2,278.7
2013,NUTS,2010,FR21,2,281.6
2011,NUTS,2010,FR22,2,574.519
2012,NUTS,2010,FR22,2,652.2
2013,NUTS,2010,FR22,2,661.2
2011,NUTS,2010,FR23,2,645.287
2012,NUTS,2010,FR23,2,689.9
2013,NUTS,2010,FR23,2,740.1
2011,NUTS,2010,FR24,2,1084.233
2012,NUTS,2010,FR24,2,1090.4
2013,NUTS,2010,FR24,2,1122.7
2011,NUTS,2010,FR25,2,468.333
2012,NUTS,2010,FR25,2,488.1
2013,NUTS,2010,FR25,2,484.6
